"country","avg_happiness_score","avg_gdp_per_capita","avg_social_support","avg_life_expectancy","avg_freedom","avg_government_trust","avg_generosity","num_years","rank"
"Indonesia",5.25200001678467,0.920969718467712,1.13115493985748,0.561203144105911,0.466160692640305,0.0129074270980954,0.53485291758728,5,90
"Honduras",5.24080004653931,0.6564366235466,1.0588769957428,0.662299895988464,0.396621972042084,0.0725310905094147,0.222771774729729,5,91
"Azerbaijan",5.22920004119873,1.07364435312653,1.03175005104065,0.619653155181885,0.380545167650223,0.175755501420975,0.0491318680553436,5,92
"China",5.21899995269775,1.00341715811157,1.0336794823761,0.797121100128174,0.50957554160881,0.0562108549226522,0.0494493682001829,5,93
"Dominican Republic",5.1994000038147,0.999922767303466,1.28227934121704,0.642562749088287,0.545379966747284,0.117401050638676,0.169933569946289,5,94
"Jordan",5.17959999313354,0.909744478885651,1.12903377858734,0.673620011665344,0.407252229850769,0.131940654437542,0.13306409204483,5,95
"Kyrgyzstan",5.17340003738403,0.542388015216827,1.27074571823883,0.615165559314728,0.467966677740097,0.0374758358006477,0.338840074705124,5,96
"Morocco",5.17220002670288,0.806696916221619,0.676152887039185,0.650592133808136,0.39190566642189,0.0814526365637779,0.0412919910311699,5,97
"Bosnia and Herzegovina",5.16180003204346,0.921693883525848,0.9844331875,0.761331261486053,0.176792635380745,0.001654,0.270967499011993,5,98
"Vietnam",5.15459997634888,0.723415515094757,1.13838426622009,0.722699797836304,0.577207118221283,0.0919206474485397,0.195663610262871,5,99
"Greece",5.15240004730225,1.20548149622345,1.05629491454315,0.87412378061676,0.0857882501883507,0.035305955378294,0,5,100
"Lebanon",5.14959998092651,1.03506150614166,0.994894849510192,0.787252215324402,0.321791197002411,0.0553887659535408,0.21998415173912,5,101
"Nigeria",5.12739997634888,0.715053251220703,1.00961409660339,0.112213146047592,0.380966513086319,0.0339843132144213,0.230293439296722,5,102
"Bhutan",5.12480003128052,0.823507277702332,1.20168730288696,0.53970785849762,0.498467536125183,0.165486077961922,0.434698909032822,5,103
"Macedonia",5.12200004768371,0.99034698428154,1.05789325348854,0.679694546122551,0.332788994669914,0.059004448389113,0.22135524091959,4,104
"Tajikistan",5.09779997787476,0.474106727088928,1.02942265499115,0.590043024917603,0.411761341379166,0.12203742924881,0.231143528717995,5,105
"Somalia",5.06025000572204,0.00566079607233405,0.616820337982178,0.152912284278273,0.600726738996506,0.286552580904961,0.261220327794552,4,106
"Somaliland Region",5.057,0.25558,0.75862,0.33108,0.3913,0.36794,0.51479,1,107
"Somaliland region",5.057,0.18847,0.95152,0.43873,0.46582,0.39928,0.50318,1,108
"Mongolia",5.02919998474121,0.941191173118592,1.38628824723816,0.591430696891785,0.380424793764114,0.0324824578363895,0.300830846059799,5,109
"Nepal",4.8123999786377,0.43141003837204,1.03895265225983,0.557920156139374,0.431649189651489,0.0738251092243195,0.337131233179092,5,110
"Laos",4.79275,0.68877,0.8379325,0.481,0.5726475,0.20118,0.3371775,4,111
"Palestinian Territories",4.73660001907349,0.656831845504761,1.05230343172455,0.61365139471817,0.233628212343216,0.0932925204143524,0.105444634780884,5,112
"Tunisia",4.72839996566772,0.937327161239624,0.762058291900635,0.690382409801483,0.245178137914658,0.0700006297645569,0.0504726714398861,5,113
"Albania",4.71260001068115,0.938632550662994,0.75493104957962,0.787695949329376,0.371897726963043,0.0432008431999683,0.167886588858604,5,114
"Cameroon",4.69580003433228,0.51915507301712,0.852021643798828,0.201378423380852,0.437167749729156,0.0500853262832165,0.207855691357613,5,115
"Iran",4.68919998245239,1.0884506213913,0.65151824980545,0.691140637706757,0.307818521622658,0.0834182146999836,0.341096582649231,5,116
"South Africa",4.67519999923706,0.979869741134644,1.25819972647858,0.289814014075279,0.428229347114563,0.0712998994808197,0.125730475981712,5,117
"Bulgaria",4.61860004501343,1.0865358176651,1.29878789168549,0.735953536090851,0.295458343517303,0.00778430618995428,0.101063538876057,5,118
"Mozambique",4.60100004768371,0.179846412498951,0.946240253748894,0.190241108849048,0.461540272979736,0.15786659640789,0.236979525969028,4,119
"Zambia",4.58439998779297,0.571761355857849,0.932381459754944,0.302761178964615,0.46209869849968,0.0973367100300789,0.21843002897644,5,120
"Bangladesh",4.58019996032715,0.523996595058441,0.638336348114014,0.593354206710815,0.478267331882477,0.13244757187748,0.178959070427895,5,121
"Sierra Leone",4.55920002212524,0.317502185743332,0.844369208995819,0.0495129507794976,0.339589538192749,0.0677830352082253,0.2473781802845,5,122
"Namibia",4.5569999704361,0.912576081423759,1.09902270176887,0.382015452849865,0.481610886845589,0.0792817430895567,0.0690209362387657,4,123
"Swaziland",4.5395,0.76153,1.11092,0.03783,0.30979,0.0828,0.128295,2,124
"Ghana",4.53639997711182,0.609374964885712,0.762146947349548,0.36335354535675,0.427235258703232,0.0340972739744186,0.231364788751602,5,125
"Iraq",4.52840004348755,1.04318809709167,0.868110639560699,0.544862093997955,0.216423106538773,0.113091150937557,0.174149452802658,5,126
"Gambia",4.516,0.308,0.939,0.428,0.382,0.167,0.269,1,127
"Kenya",4.44939999465942,0.490571892429352,0.972022145111084,0.412161669935226,0.443134753210068,0.0595782638430595,0.391512061872482,5,128
"Ethiopia",4.42320000762939,0.293358769094467,0.766209840751648,0.412547941509247,0.401274548488617,0.146727142773628,0.256024148029327,5,129
"Gabon",4.40780003051758,1.10199204788208,1.02631604346466,0.422939717697144,0.312689715408325,0.0774193574404716,0.0498890756673813,5,130
"Senegal",4.39399996948242,0.433285804485321,1.03620838214874,0.450666570514679,0.350840453344345,0.0986800895934104,0.174785778634071,5,131
"Armenia",4.39319998550415,0.839133347572327,0.890872744155884,0.697850885196686,0.216028653471947,0.038766884300828,0.0823936183652878,5,132
"Sri Lanka",4.39260001144409,0.937054028877258,1.14117127740479,0.691252166439056,0.532328650985718,0.0684167932376862,0.38398471232605,5,133
"Myanmar",4.38300001525879,0.474262110080719,0.977419188186646,0.45255651374054,0.497316406982422,0.186317240933418,0.723533032196045,5,134
"Congo (Brazzaville)",4.37739997787476,0.722742850494385,0.71658687260437,0.346717486787796,0.423013174160004,0.0928016267209053,0.112300425534248,5,135
"Egypt",4.37520002670288,0.924690361499786,0.861320278430939,0.57109345174408,0.239292030925751,0.0911102730956078,0.107320288557053,5,136
"Djibouti",4.369,0.44025,0.59207,0.36291,0.46074,0.28105,0.18093,1,137
"Mauritania",4.35499996337891,0.568687457748413,1.07890616607666,0.342295855928421,0.132043608604908,0.134423400933266,0.177546004840851,5,138
"Congo (Kinshasa)",4.34640004196167,0.0623424697608948,1.0595966913147,0.207693404972076,0.239806269563675,0.0604482712984085,0.23167516666317,5,139
"Georgia",4.33879995498657,0.853886532844543,0.481344986793518,0.68283139617157,0.35215800712204,0.266555327054977,0.0516677630875111,5,140
"Ukraine",4.30720003890991,0.835918389881134,1.28288951361847,0.636816790424347,0.168758955146313,0.0183858941632509,0.20008829262352,5,141
"India",4.29780001144409,0.730714249629974,0.588116519348145,0.498925523366928,0.461539400999069,0.0884733770518303,0.223713697892189,5,142
"Ivory Coast",4.27319996566772,0.546691784126282,0.78633800605011,0.111450433936834,0.428399238546371,0.131516355089188,0.181253493982315,5,143
"Sudan",4.24174998474121,0.60406917304039,1.07183214242935,0.317322705953121,0.0329514638198167,0.104709379998445,0.171926862660646,4,144
"Mali",4.21900001144409,0.360968098766327,1.10361267964172,0.199733134851456,0.332924748661041,0.0945920493106842,0.17479483978653,5,145
"Cambodia",4.20540004425049,0.548237019237518,0.876219668266296,0.511972680774689,0.637871164699554,0.0696991901903152,0.336180593677521,5,146
"Niger",4.10459997558594,0.126605066151619,0.802395000972748,0.282839001405716,0.385797739282608,0.133544589238167,0.199048769105911,5,147
"Lesotho",4.07900002193451,0.464367811727524,1.15378129655838,0.08078,0.372582824807167,0.112283660004139,0.136094317973852,4,148
